interaction_id,question_type,n_words,retrieved_gold_clean,t_suf_clean,phi_suf_clean,retrieved_gold_string,t_suf_string,phi_suf_string
5ae2070a5542994d89d5b313,comparison,16,True,1,0.0625,True,1,0.0625
5ae22b8d554299234fd0440f,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a722b8655429971e9dc9329,bridge,16,False,,,False,,
5adf37a95542995ec70e8f97,bridge,25,True,1,0.04,False,,
5abd259d55429924427fcf1a,comparison,9,True,1,0.1111111111111111,False,,
5a828c8355429966c78a6a50,bridge,19,True,1,0.05263157894736842,True,2,0.10526315789473684
5a8a3e745542996c9b8d5e70,bridge,18,True,1,0.05555555555555555,True,7,0.3888888888888889
5ac23ff0554299636651994d,bridge,9,True,3,0.3333333333333333,True,1,0.1111111111111111
5ae4a3265542995ad6573de5,comparison,12,True,1,0.08333333333333333,True,10,0.8333333333333334
5ae0361155429925eb1afc2c,bridge,9,True,3,0.3333333333333333,True,3,0.3333333333333333
5abc0a5d5542993f40c73c64,comparison,12,True,2,0.16666666666666666,False,,
5a7cc50e554299452d57ba3e,comparison,11,True,3,0.2727272727272727,True,3,0.2727272727272727
5abf63f15542997ec76fd3ea,bridge,20,True,4,0.2,True,17,0.85
5a8ef2a75542995a26add583,bridge,19,True,1,0.05263157894736842,True,15,0.7894736842105263
5a80721b554299485f5985ef,bridge,17,True,2,0.11764705882352941,True,2,0.11764705882352941
5ab51dae5542991779162d82,comparison,14,True,3,0.21428571428571427,True,1,0.07142857142857142
5a7571135542992d0ec05f98,bridge,15,True,1,0.06666666666666667,True,15,1.0
5a7a0e1e5542990783324e1a,comparison,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a74106b55429979e288289e,bridge,14,True,3,0.21428571428571427,True,4,0.2857142857142857
5a79311755429970f5fffe67,bridge,25,True,1,0.04,False,,
5ab2d3df554299194fa9352c,bridge,13,True,2,0.15384615384615385,True,1,0.07692307692307693
5a760ab65542994ccc918697,bridge,25,True,1,0.04,True,1,0.04
5a7d54165542995f4f402256,bridge,17,True,2,0.11764705882352941,True,16,0.9411764705882353
5ab859a955429934fafe6d7b,bridge,27,True,1,0.037037037037037035,True,1,0.037037037037037035
5add61d65542995b365fab21,bridge,10,True,3,0.3,True,4,0.4
5a8e068b5542995085b37384,comparison,8,True,1,0.125,False,,
5abbf698554299114383a0b5,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a8e1027554299653c1aa15f,bridge,32,True,1,0.03125,True,8,0.25
5ab84bf555429916710eb01f,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a77724455429972597f153e,bridge,13,True,13,1.0,True,3,0.23076923076923078
5a87c13f5542996e4f30890c,bridge,19,True,3,0.15789473684210525,True,12,0.631578947368421
5ab96ab755429970cfb8eacd,bridge,13,True,4,0.3076923076923077,True,4,0.3076923076923077
5a8a43eb5542996c9b8d5e82,bridge,28,True,3,0.10714285714285714,True,15,0.5357142857142857
5ae73acb5542991e8301cc07,bridge,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5a7320565542991f9a20c61d,bridge,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5ae32e125542991a06ce9946,bridge,18,False,,,False,,
5adc53f75542996e6852530a,comparison,6,False,,,False,,
5a8b20335542996c9b8d5fb3,bridge,31,True,1,0.03225806451612903,True,3,0.0967741935483871
5a85fb085542994775f606de,bridge,19,True,1,0.05263157894736842,True,2,0.10526315789473684
5a7be2595542997c3ec972ac,comparison,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5a77152355429966f1a36c2e,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a8f4c8d554299458435d5a3,bridge,20,True,1,0.05,True,3,0.15
5a80840f554299485f59863b,bridge,15,True,2,0.13333333333333333,True,1,0.06666666666666667
5a8361b65542992ef85e22a0,bridge,17,True,1,0.058823529411764705,True,11,0.6470588235294118
5ae7ba7a5542993210983f12,bridge,30,True,14,0.4666666666666667,True,14,0.4666666666666667
5ac2acff55429921a00ab02b,bridge,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5aba7cfe554299232ef4a2fd,bridge,25,True,2,0.08,True,24,0.96
5ae5aba0554299546bf82f17,bridge,27,True,1,0.037037037037037035,True,1,0.037037037037037035
5ae1f4cb554299234fd0436d,bridge,13,True,1,0.07692307692307693,True,2,0.15384615384615385
5ae7e1fc55429952e35ea9cc,bridge,18,True,2,0.1111111111111111,True,2,0.1111111111111111
5ae37c765542992f92d822d4,bridge,19,True,7,0.3684210526315789,True,7,0.3684210526315789
5ae33c4d5542992f92d82262,bridge,13,True,1,0.07692307692307693,True,3,0.23076923076923078
5a77cb335542997042120b3a,bridge,15,True,1,0.06666666666666667,True,15,1.0
5a8979f4554299669944a52e,bridge,15,True,2,0.13333333333333333,True,2,0.13333333333333333
5a713ea95542994082a3e6e4,bridge,12,True,1,0.08333333333333333,True,3,0.25
5a78bd9b554299078472774a,bridge,10,True,1,0.1,True,1,0.1
5a7625e8554299109176e66a,bridge,13,True,4,0.3076923076923077,True,4,0.3076923076923077
5ae2dd2055429928c423950d,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5abdf12255429976d4830a2f,bridge,28,True,1,0.03571428571428571,True,1,0.03571428571428571
5a88658955429938390d3f47,bridge,17,True,1,0.058823529411764705,True,5,0.29411764705882354
5a86ebac55429960ec39b6d6,bridge,22,True,1,0.045454545454545456,True,13,0.5909090909090909
5aba5d2e55429901930fa799,bridge,29,True,12,0.41379310344827586,True,2,0.06896551724137931
5ae5736e5542990ba0bbb2b3,bridge,22,True,1,0.045454545454545456,True,5,0.22727272727272727
5ae005b555429942ec259bec,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a7759fc5542993569682d60,comparison,10,True,3,0.3,True,1,0.1
5a835478554299123d8c20ed,bridge,12,True,1,0.08333333333333333,True,1,0.08333333333333333
5aba749055429901930fa7d8,comparison,9,True,4,0.4444444444444444,True,4,0.4444444444444444
5abfb3425542990832d3a1c0,bridge,10,True,1,0.1,True,1,0.1
5ac3165c5542995ef918c10a,bridge,12,True,2,0.16666666666666666,True,11,0.9166666666666666
5ae53b545542990ba0bbb23c,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5ae224da554299234fd043ee,comparison,9,True,2,0.2222222222222222,False,,
5ae2b770554299495565db0f,bridge,22,True,4,0.18181818181818182,True,4,0.18181818181818182
5a80b3a9554299485f5986cc,bridge,7,True,1,0.14285714285714285,True,1,0.14285714285714285
5a8e0a005542995085b373a1,bridge,14,True,1,0.07142857142857142,False,,
5ac1b8ee5542994d76dccedc,comparison,12,True,8,0.6666666666666666,True,8,0.6666666666666666
5adccd795542990d50227d2c,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5a84c4135542994c784dda31,comparison,9,True,1,0.1111111111111111,False,,
5a85eed75542996432c5713b,bridge,16,True,1,0.0625,True,1,0.0625
5a774e9c55429972597f14f3,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5ae738f75542991bbc9761c4,bridge,16,True,5,0.3125,True,5,0.3125
5ac32b565542995ef918c154,bridge,18,True,2,0.1111111111111111,True,2,0.1111111111111111
5abc8d75554299700f9d7900,bridge,27,True,1,0.037037037037037035,True,2,0.07407407407407407
5a8bb29b554299240d9c2089,bridge,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5ab659e355429954757d324e,bridge,16,True,2,0.125,False,,
5a8b8b3155429949d91db5d7,bridge,13,True,3,0.23076923076923078,True,3,0.23076923076923078
5ae7eaf65542994a481bbe1d,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a8c4c625542995e66a475a1,bridge,20,True,3,0.15,True,3,0.15
5a818387554299260e20a291,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5ab978855542996be2020512,bridge,12,True,1,0.08333333333333333,True,1,0.08333333333333333
5ae63dad55429929b0807afe,bridge,21,True,2,0.09523809523809523,True,5,0.23809523809523808
5a7a455c5542994f819ef1a7,comparison,8,True,7,0.875,True,1,0.125
5a7dcc775542990b8f503ab5,bridge,8,True,1,0.125,True,1,0.125
5a887bc0554299206df2b2b6,bridge,12,True,2,0.16666666666666666,True,11,0.9166666666666666
5a83880e554299123d8c214e,bridge,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5a879adb5542996e4f30887f,bridge,13,False,,,False,,
5add11935542994734353827,comparison,10,True,1,0.1,False,,
5a8c5569554299240d9c2126,comparison,8,True,6,0.75,False,,
5a75f0ea5542994ccc91866c,bridge,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5a89f5815542993b751ca9c5,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a8d5fc6554299585d9e37c6,bridge,22,True,4,0.18181818181818182,True,4,0.18181818181818182
5ac120c55542992a796dedfc,bridge,12,True,1,0.08333333333333333,True,1,0.08333333333333333
5ab7c1a955429928e1fe38c8,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5abd01205542992ac4f3819b,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5ab69c25554299110f219a39,bridge,31,True,3,0.0967741935483871,True,3,0.0967741935483871
5a7b12a355429927d897bf2a,bridge,13,True,1,0.07692307692307693,True,3,0.23076923076923078
5ae0006755429925eb1afbd3,bridge,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5ae305df5542992decbdcdc3,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a8574945542997b5ce3fffb,comparison,19,True,1,0.05263157894736842,True,2,0.10526315789473684
5a7332935542991f9a20c67d,comparison,11,True,8,0.7272727272727273,True,8,0.7272727272727273
5a80071f5542992bc0c4a684,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ae73c065542991e8301cc18,bridge,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5a87d8215542994775f60800,bridge,33,True,2,0.06060606060606061,True,2,0.06060606060606061
5ac2ffbd554299677310267b,bridge,13,True,1,0.07692307692307693,True,13,1.0
5a7c960655429935c91b5244,bridge,15,True,2,0.13333333333333333,True,1,0.06666666666666667
5a7d61775542991319bc93b9,bridge,19,True,2,0.10526315789473684,True,2,0.10526315789473684
5ac1c6805542994ab5c67e11,bridge,18,True,4,0.2222222222222222,True,4,0.2222222222222222
5a7a230e5542996a35c170ee,bridge,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5ae4627d5542991a06ce9a4d,bridge,9,True,7,0.7777777777777778,True,7,0.7777777777777778
5ac2d1d755429921a00ab053,comparison,11,True,1,0.09090909090909091,True,1,0.09090909090909091
5ab4e3065542990594ba9cb4,bridge,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5ac298f9554299657fa28fc9,comparison,23,True,1,0.043478260869565216,True,5,0.21739130434782608
5ab6a2be554299710c8d1f08,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a738d27554299623ed4abf3,bridge,10,True,5,0.5,True,5,0.5
5ab2a186554299295394677b,bridge,18,True,5,0.2777777777777778,True,5,0.2777777777777778
5a8704f8554299211dda2ba4,bridge,23,True,1,0.043478260869565216,True,7,0.30434782608695654
5ab5ed505542997d4ad1f255,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5a77c1505542997042120b1b,bridge,26,True,1,0.038461538461538464,True,1,0.038461538461538464
5a88d745554299206df2b378,comparison,10,True,3,0.3,True,1,0.1
5ae748d1554299572ea547b0,bridge,37,True,1,0.02702702702702703,True,4,0.10810810810810811
5a7a8a9c554299042af8f666,bridge,19,True,1,0.05263157894736842,True,1,0.05263157894736842
5adffe7155429906c02daa9e,bridge,24,True,1,0.041666666666666664,True,18,0.75
5ab642845542995eadeeff8e,comparison,6,True,4,0.6666666666666666,False,,
5a906a685542990a9849362e,bridge,18,True,2,0.1111111111111111,True,1,0.05555555555555555
5a7633ad5542992db9473741,comparison,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5a74ce9655429974ef308c6c,bridge,12,True,2,0.16666666666666666,True,2,0.16666666666666666
5a713a5a5542994082a3e6a9,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ab341f755429969a97a8114,bridge,22,True,3,0.13636363636363635,False,,
5a8325b35542990548d0b18f,bridge,33,True,1,0.030303030303030304,True,2,0.06060606060606061
5ab9374b554299131ca422c6,bridge,17,True,1,0.058823529411764705,True,4,0.23529411764705882
5ae52c0f5542992663a4f12e,bridge,14,True,4,0.2857142857142857,True,4,0.2857142857142857
5adbfbd555429947ff173893,bridge,10,True,1,0.1,True,2,0.2
5ab7f0015542992aa3b8c88b,bridge,9,True,4,0.4444444444444444,True,4,0.4444444444444444
5ac547525542993e66e822a3,bridge,31,True,1,0.03225806451612903,True,2,0.06451612903225806
5a7cbf8c554299452d57b9f4,comparison,8,True,7,0.875,True,1,0.125
5a7ddc5a5542995f4f4022da,bridge,20,True,3,0.15,True,3,0.15
5a7a1cd85542990783324e65,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5ae0a59a55429945ae9593e2,bridge,18,True,2,0.1111111111111111,True,1,0.05555555555555555
5a8b987f5542997f31a41d7a,bridge,17,True,1,0.058823529411764705,True,2,0.11764705882352941
5a8739a05542994775f607ab,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5ae67dba55429908198fa5f0,bridge,18,True,1,0.05555555555555555,True,2,0.1111111111111111
5a7b3f4d5542992d025e67bb,bridge,18,True,1,0.05555555555555555,True,15,0.8333333333333334
5ae2dfd155429928c423951b,bridge,27,True,4,0.14814814814814814,True,4,0.14814814814814814
5ab6ba245542995eadef007f,comparison,8,True,1,0.125,False,,
5ab8854555429934fafe6e0c,bridge,19,True,1,0.05263157894736842,True,1,0.05263157894736842
5a8eea4a5542990e94052bb7,bridge,22,True,4,0.18181818181818182,False,,
5a74c85055429916b0164218,bridge,15,True,15,1.0,False,,
5a88dcf9554299206df2b383,bridge,12,True,2,0.16666666666666666,True,1,0.08333333333333333
5a7625c7554299109176e668,bridge,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5ac0d83a554299294b219038,bridge,16,True,1,0.0625,False,,
5a790d8f554299029c4b5eec,bridge,16,True,1,0.0625,True,1,0.0625
5ab2c5e255429916697740ba,bridge,18,True,3,0.16666666666666666,True,1,0.05555555555555555
5abcfc365542993a06baf9d6,bridge,21,True,5,0.23809523809523808,True,5,0.23809523809523808
5a8ee6915542990e94052bad,bridge,39,True,5,0.1282051282051282,True,1,0.02564102564102564
5abba4855542993f40c73b68,bridge,25,True,1,0.04,True,1,0.04
5ae0bae555429906c02dab08,bridge,21,True,2,0.09523809523809523,True,2,0.09523809523809523
5ab271fe554299449642c8a6,comparison,16,True,2,0.125,False,,
5a7997a2554299029c4b5f59,bridge,17,True,1,0.058823529411764705,True,4,0.23529411764705882
5add673e5542992ae4cec54d,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ae819ac55429952e35eaa16,bridge,25,True,1,0.04,True,5,0.2
5aba65a055429939ce03dcd2,bridge,13,True,1,0.07692307692307693,False,,
5a87bada5542994846c1cddc,bridge,22,True,1,0.045454545454545456,True,1,0.045454545454545456
5ae74fc45542997b22f6a6b4,bridge,21,True,1,0.047619047619047616,True,1,0.047619047619047616
5adf65555542992d7e9f9334,bridge,16,True,1,0.0625,True,1,0.0625
5ade69e455429975fa854ec5,bridge,16,True,1,0.0625,True,6,0.375
5ae057fd55429945ae959328,bridge,10,True,1,0.1,False,,
5ab28019554299722f9b4d51,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5a75f79555429976ec32bcca,bridge,16,True,1,0.0625,True,1,0.0625
5adef80b5542993a75d263c4,bridge,16,True,1,0.0625,True,1,0.0625
5ae0aaf455429945ae959401,bridge,13,True,1,0.07692307692307693,True,6,0.46153846153846156
5ab47d765542991751b4d78f,bridge,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5a7ed2c655429930675135e5,bridge,23,True,3,0.13043478260869565,True,3,0.13043478260869565
5ac3e0f7554299194317388b,bridge,11,False,,,True,2,0.18181818181818182
5a7bae20554299294a54aa96,bridge,13,True,1,0.07692307692307693,False,,
5ab8ee035542991b5579f04b,comparison,11,True,6,0.5454545454545454,False,,
5a7a276d5542996c55b2dd27,bridge,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5a717d4c5542994082a3e854,comparison,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5ac02e31554299294b218f3f,bridge,25,True,6,0.24,True,6,0.24
5a79ea435542996c55b2dc9e,bridge,16,True,1,0.0625,True,2,0.125
5ab7e4dc5542995dae37e9df,bridge,21,True,1,0.047619047619047616,True,1,0.047619047619047616
5a834ed95542990548d0b1ca,comparison,12,True,2,0.16666666666666666,True,2,0.16666666666666666
5ab41d855542996a3a969f4b,bridge,20,True,1,0.05,True,1,0.05
5a7b7ff75542995eb53be93d,comparison,10,True,3,0.3,True,4,0.4
5a7d19d85542995ed0d165e8,bridge,15,True,1,0.06666666666666667,True,10,0.6666666666666666
5ae7ed17554299540e5a56a3,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5ab2659e554299340b5254b2,bridge,19,True,1,0.05263157894736842,True,18,0.9473684210526315
5abd2eab5542992ac4f38210,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5abaf3195542996cc5e49f2c,bridge,17,True,2,0.11764705882352941,True,2,0.11764705882352941
5a791a97554299148911f9f2,bridge,12,True,1,0.08333333333333333,True,1,0.08333333333333333
5adf58f15542993a75d264d2,bridge,13,True,1,0.07692307692307693,True,1,0.07692307692307693
5adc65e85542996e68525350,comparison,11,True,3,0.2727272727272727,False,,
5a87ab9b5542996e4f3088c2,bridge,28,True,3,0.10714285714285714,True,3,0.10714285714285714
5a738fe855429908901be2fb,bridge,15,True,2,0.13333333333333333,True,2,0.13333333333333333
5a8c65a1554299585d9e3680,bridge,29,True,9,0.3103448275862069,True,9,0.3103448275862069
5ac2bbd0554299218029db09,bridge,11,True,7,0.6363636363636364,True,1,0.09090909090909091
5adf3e355542993a75d26440,bridge,16,True,5,0.3125,True,1,0.0625
5ae82ae555429952e35eaa71,bridge,19,True,1,0.05263157894736842,True,17,0.8947368421052632
5ac289ff5542996366519a02,comparison,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5a7a5b3a5542996c55b2dd71,bridge,16,True,4,0.25,True,4,0.25
5ab8688b55429934fafe6daa,bridge,15,True,1,0.06666666666666667,True,1,0.06666666666666667
5a7a3a945542996a35c17147,bridge,31,True,1,0.03225806451612903,True,12,0.3870967741935484
5ab9b29c554299743d22ebae,comparison,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5a8b63fa55429950cd6afcd7,bridge,13,True,1,0.07692307692307693,True,2,0.15384615384615385
5ade51b45542997c77adedf4,bridge,19,True,1,0.05263157894736842,True,1,0.05263157894736842
5ae4c49a5542995dadf24400,bridge,26,True,1,0.038461538461538464,True,3,0.11538461538461539
5a7d3470554299452d57bb56,bridge,31,True,1,0.03225806451612903,True,1,0.03225806451612903
5ae4f2c75542993aec5ec0fb,bridge,23,True,5,0.21739130434782608,True,5,0.21739130434782608
5ab1d7ac554299449642c7e6,comparison,8,True,1,0.125,True,1,0.125
5a85cead5542991dd0999ea9,bridge,23,True,3,0.13043478260869565,True,3,0.13043478260869565
5a73a7c755429978a71e9068,bridge,16,True,3,0.1875,True,3,0.1875
5a7f113d55429934daa2fcbe,bridge,20,True,1,0.05,True,1,0.05
5ae6828f5542996d980e7bb9,bridge,18,True,1,0.05555555555555555,True,2,0.1111111111111111
5ab31864554299233954ff06,bridge,8,True,1,0.125,True,1,0.125
5abe239355429976d4830a7d,bridge,19,True,1,0.05263157894736842,False,,
5ac2659b55429963665199a1,bridge,18,True,3,0.16666666666666666,True,3,0.16666666666666666
5ae058e855429945ae959331,comparison,7,True,2,0.2857142857142857,False,,
5a7b8749554299294a54a9db,comparison,12,True,2,0.16666666666666666,True,2,0.16666666666666666
5a864ff7554299211dda2af2,bridge,27,True,1,0.037037037037037035,True,1,0.037037037037037035
5ae4d3c95542990ba0bbb165,comparison,19,True,3,0.15789473684210525,True,10,0.5263157894736842
5ab7f97a5542991d322237ef,bridge,7,True,1,0.14285714285714285,True,1,0.14285714285714285
5a7b46e55542995eb53be8e5,bridge,19,True,1,0.05263157894736842,True,1,0.05263157894736842
5a879ba55542993e715abfc3,comparison,11,True,1,0.09090909090909091,True,10,0.9090909090909091
5ae4563e5542996836b02c7f,bridge,23,True,2,0.08695652173913043,True,3,0.13043478260869565
5ab6ff3a5542991d3222372a,bridge,16,True,1,0.0625,True,1,0.0625
5a7a46605542994f819ef1ad,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ade7a435542997c77adee3a,bridge,24,True,1,0.041666666666666664,True,1,0.041666666666666664
5ac1795f5542994ab5c67d5f,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5ab1e984554299340b525428,comparison,8,True,1,0.125,True,2,0.25
5a86769c5542994775f60776,bridge,17,True,1,0.058823529411764705,True,1,0.058823529411764705
5ab7da6f55429928e1fe3928,bridge,20,True,4,0.2,True,16,0.8
5ae497f15542995ad6573db8,bridge,11,True,1,0.09090909090909091,True,1,0.09090909090909091
5ae6f2a7554299572ea5464a,bridge,27,True,2,0.07407407407407407,True,7,0.25925925925925924
5adea9ea55429939a52fe934,bridge,23,True,1,0.043478260869565216,True,7,0.30434782608695654
5a7caae75542996dd594b971,bridge,9,True,4,0.4444444444444444,True,4,0.4444444444444444
5ac01bb8554299012d1db5a6,bridge,25,True,1,0.04,True,1,0.04
5abc3a65554299700f9d782d,bridge,16,True,1,0.0625,False,,
5ae3ff575542995dadf242aa,bridge,24,True,6,0.25,True,6,0.25
5a89fb525542993b751ca9d6,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5ab3d69255429969a97a81c9,bridge,16,True,1,0.0625,True,1,0.0625
5ac5199a5542994611c8b38a,comparison,9,True,2,0.2222222222222222,False,,
5ae048a255429924de1b708e,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5a9068a95542990a98493621,bridge,18,True,5,0.2777777777777778,True,13,0.7222222222222222
5adf9dc3554299025d62a2e6,bridge,31,True,1,0.03225806451612903,True,1,0.03225806451612903
5ae406245542995dadf242e2,bridge,19,True,1,0.05263157894736842,True,3,0.15789473684210525
5ab6369655429953192ad2a1,comparison,9,True,1,0.1111111111111111,True,1,0.1111111111111111
5ae628f55542995703ce8b32,bridge,18,True,1,0.05555555555555555,False,,
5adccdd55542992c1e3a2408,bridge,17,True,2,0.11764705882352941,True,2,0.11764705882352941
5abd1529554299114383a1e3,bridge,10,True,1,0.1,False,,
5a78db8055429970f5fffdb2,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5ab9debb55429955dce3ed97,bridge,18,True,1,0.05555555555555555,True,1,0.05555555555555555
5ae791ef55429952e35ea979,bridge,25,True,4,0.16,True,4,0.16
5ab8f7535542991b5579f0a7,comparison,13,True,1,0.07692307692307693,True,6,0.46153846153846156
5ac119335542992a796dede4,bridge,15,True,1,0.06666666666666667,False,,
5a7d2afd5542995f4f402221,comparison,8,True,1,0.125,True,1,0.125
5a8dd5f955429917b4a5bcc7,bridge,15,True,1,0.06666666666666667,True,3,0.2
5a83a532554299334474606f,bridge,17,True,4,0.23529411764705882,True,4,0.23529411764705882
5a90692f5542990a98493625,bridge,12,True,1,0.08333333333333333,True,1,0.08333333333333333
5a7555215542996c70cfaee1,comparison,15,True,1,0.06666666666666667,True,6,0.4
5a90580655429933b8a204ef,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5a88e605554299206df2b39c,bridge,24,True,1,0.041666666666666664,True,1,0.041666666666666664
5add67915542992200553af8,bridge,14,True,1,0.07142857142857142,True,1,0.07142857142857142
5a8463545542990548d0b2a3,bridge,24,True,5,0.20833333333333334,True,11,0.4583333333333333
5a74684655429929fddd8410,bridge,18,True,11,0.6111111111111112,False,,
5a835c9f5542992ef85e228a,bridge,21,True,1,0.047619047619047616,True,1,0.047619047619047616
5ae7edee554299540e5a56ad,bridge,22,True,2,0.09090909090909091,False,,
5a8ee4315542990e94052ba7,bridge,23,True,1,0.043478260869565216,True,1,0.043478260869565216
5a8cb288554299585d9e3726,bridge,29,True,1,0.034482758620689655,True,2,0.06896551724137931
5adfbca255429942ec259b2c,bridge,13,True,3,0.23076923076923078,True,13,1.0
5ae24abc5542994d89d5b3c3,bridge,13,True,1,0.07692307692307693,True,2,0.15384615384615385
5ab802085542990e739ec7ca,bridge,16,True,1,0.0625,True,1,0.0625
5adfa3da554299025d62a317,bridge,15,True,1,0.06666666666666667,True,2,0.13333333333333333
5a76e88555429972597f13f4,bridge,14,True,3,0.21428571428571427,True,3,0.21428571428571427
5ac3ae475542995ef918c1e5,comparison,10,True,1,0.1,True,1,0.1
5abffc41554299012d1db551,bridge,14,True,2,0.14285714285714285,True,4,0.2857142857142857
5ae4c39f5542995dadf243fb,bridge,9,True,7,0.7777777777777778,True,7,0.7777777777777778
5a79c6a55542994bb9457091,bridge,26,True,1,0.038461538461538464,True,1,0.038461538461538464
5a7be5bd5542997c3ec972ba,comparison,14,True,2,0.14285714285714285,True,2,0.14285714285714285
5a7ec61a55429934daa2fc5f,comparison,10,True,1,0.1,False,,
5a7cb9b95542990527d55515,bridge,21,True,1,0.047619047619047616,True,1,0.047619047619047616
5a867089554299211dda2b30,comparison,11,True,1,0.09090909090909091,True,1,0.09090909090909091
5ae1801955429901ffe4aec4,bridge,10,True,4,0.4,True,4,0.4
5a76387d554299109176e6ba,comparison,10,True,1,0.1,True,1,0.1
5abd0d635542992ac4f381b8,bridge,30,True,3,0.1,True,3,0.1
