interaction_id,domain,question_type,static_or_dynamic,n_words,n_passages,groundable,retrieved_gold,t_sc,phi_sc,t_suf,phi_suf,volatility
d23790bf-4b54-4e44-a2b6-08b7fd624b1e,finance,set,slow-changing,15,67,False,False,15,1.0,,,3
95395d91-4c20-42d2-a83a-63cd7ceb9de0,finance,comparison,slow-changing,10,63,True,True,10,1.0,3,0.3,2
61ad5e0f-7b5f-4995-80af-5fef9e7eb054,movie,simple,slow-changing,18,56,False,False,16,0.8889,,,0
26c71ab4-7e91-4fca-9ee0-bf37112a60e0,sports,comparison,static,15,42,True,True,14,0.9333,2,0.1333,0
34f9ee14-e6ce-4268-8da6-87fa9c18a688,movie,set,slow-changing,13,177,False,False,11,0.8462,,,0
a99f8520-87cf-4e64-aa92-c60bcb36a12e,music,simple_w_condition,static,17,359,False,False,17,1.0,,,0
c6efc503-b6cf-41b9-827e-e484d8395317,open,simple_w_condition,slow-changing,11,168,False,False,11,1.0,,,0
161c77c9-4d61-4396-bbd5-29c386165710,music,aggregation,slow-changing,9,394,False,False,6,0.6667,,,0
8c17fc19-f436-45ab-bb67-b5a73c39cd41,movie,simple,static,7,78,True,False,7,1.0,,,0
f8136dff-e229-457a-994b-20f3a6454522,finance,simple,real-time,10,108,False,False,10,1.0,,,0
3655f42b-4985-429b-b256-4465f7fdb5d5,music,multi-hop,fast-changing,8,78,False,False,8,1.0,,,0
08ad6300-4bac-489d-a50d-78471e078b36,movie,simple,static,10,201,False,False,10,1.0,,,0
c6e4acd1-85ca-4b64-8914-6465b7c7ca9e,finance,simple,real-time,14,110,False,False,13,0.9286,,,0
e6b1f088-a55e-41bd-93ce-0576af64f007,movie,post-processing,slow-changing,12,101,False,False,10,0.8333,,,0
05100ff4-ff23-43d1-96fb-78e0fa3b1bb0,sports,set,slow-changing,9,72,False,False,6,0.6667,,,0
41abe635-6ec6-4e5d-a983-5d1817aa0942,sports,aggregation,slow-changing,10,147,False,False,8,0.8,,,0
c9187a23-246b-4b4c-a400-e5de4f0e4ebe,movie,comparison,static,15,89,True,False,14,0.9333,,,0
088b8e27-660e-41c1-b8e4-9ce81ae52ad7,open,simple,static,5,135,False,False,4,0.8,,,0
b2424587-4062-48c6-903c-cf9c63bceb68,sports,aggregation,slow-changing,10,283,False,False,10,1.0,,,0
6e9cf041-a792-4f98-b3b8-dc5e18211d96,open,multi-hop,static,10,325,False,False,3,0.3,,,0
ada6e747-4283-47d4-ab44-6b82489bf46f,open,comparison,slow-changing,11,65,False,False,11,1.0,,,0
e57f59ae-adec-40be-972f-33e0d259e0c1,open,aggregation,static,21,400,False,False,20,0.9524,,,0
0706fe40-1baf-4ceb-a0c2-3156b9af015d,finance,set,static,13,77,False,False,13,1.0,,,3
4599a9a2-f9b9-418c-959f-84c39afc9e26,finance,set,slow-changing,14,147,False,False,14,1.0,,,2
15d28e34-405b-42a8-8a73-41fcb9584845,finance,simple,real-time,11,73,True,True,6,0.5455,5,0.4545,0
ce9238da-d46d-40e4-bca3-aa516d0e7f28,finance,simple,real-time,7,83,True,False,7,1.0,,,0
a0dd8a0d-e8a9-46d7-b930-e30af0cb3671,movie,simple,static,8,400,True,True,8,1.0,1,0.125,4
e4e6750b-810e-4f33-bbce-be8eaf70a0e2,finance,simple,real-time,13,106,False,False,13,1.0,,,0
8afb7c54-21de-4dae-9afd-71b317dae885,movie,simple,static,8,76,True,True,7,0.875,2,0.25,0
2a00c31a-5766-4074-8e8d-294a430991d0,open,false_premise,static,10,111,False,False,10,1.0,,,0
6a0ab652-c65e-4857-b209-16fafd25ee9e,sports,aggregation,static,14,315,True,True,14,1.0,1,0.0714,3
ff20865f-b6d3-4348-88a8-e46d865191ca,movie,simple_w_condition,slow-changing,14,158,True,False,9,0.6429,,,0
2c6b4afe-aa7a-4f62-ab80-6fc39014ca5c,music,false_premise,static,10,155,False,False,10,1.0,,,0
546101ec-c5fb-4d61-b242-c47894e669f7,finance,simple,static,4,129,False,False,4,1.0,,,0
907fcce8-e2f3-4d17-95a8-e883b7dfec9f,movie,simple_w_condition,static,9,101,False,False,9,1.0,,,0
5db90d97-9b5a-422b-a46a-ca401cfd2074,movie,multi-hop,static,25,400,False,False,10,0.4,,,0
e588ec25-c9e8-4354-aead-4448c92fdda6,open,post-processing,static,12,324,True,True,9,0.75,4,0.3333,0
79c07a6f-77a4-4f41-ad34-90804e609c2d,open,multi-hop,static,9,38,False,False,9,1.0,,,0
519ed4a8-6930-4919-8304-b80b334e698b,music,simple,static,7,88,False,False,5,0.7143,,,0
f2ba0bc4-c546-4a01-87f0-174403ed69ca,finance,comparison,fast-changing,6,400,False,False,4,0.6667,,,0
fe5b74d1-f54c-4954-862a-8f99df1a32df,movie,simple,static,12,231,True,True,12,1.0,2,0.1667,2
d6bc7e13-a355-45cc-b1ee-0f1491888694,sports,set,static,9,278,False,False,9,1.0,,,0
42fa780d-1b01-4dac-a2e0-dc9c4c2526bf,sports,simple_w_condition,slow-changing,13,63,False,False,11,0.8462,,,0
5fa76d8a-c727-44c7-99ac-227804d6abb6,finance,simple,real-time,11,80,False,False,11,1.0,,,2
4767a282-a3a4-4025-81c3-b58c0bc541a0,movie,comparison,slow-changing,13,77,False,False,11,0.8462,,,3
02078fd7-8b65-496e-8b14-79bd27880e01,finance,simple,real-time,6,94,True,True,6,1.0,4,0.6667,0
0816101c-bfca-42ab-8edb-d4e20cccb56c,sports,false_premise,fast-changing,17,101,False,False,17,1.0,,,0
9af2d601-a081-4c0b-b13d-ed56349c4b96,finance,simple_w_condition,slow-changing,7,65,False,False,7,1.0,,,2
818b8ba4-2a10-4c48-abc7-d9eb2f5f5489,finance,set,static,11,138,False,False,6,0.5455,,,0
5268e83b-ba85-44a3-b8eb-f3a494ed053f,open,simple,static,8,46,True,True,6,0.75,2,0.25,0
4aaae29d-1ea7-431c-948b-01ce9b7255ef,sports,false_premise,static,13,47,False,False,10,0.7692,,,4
470277f4-2101-4aaa-a35e-c44b4a7bf758,sports,simple,slow-changing,9,75,True,True,9,1.0,4,0.4444,0
5cc6a7e9-ef88-403d-a9e6-bc2faae48ba3,finance,simple,real-time,10,91,False,False,10,1.0,,,0
a3d5797d-8a38-483b-b42f-168f38fcceab,movie,simple,static,8,100,True,False,7,0.875,,,0
b282bbe9-aad2-4c0e-ad79-0f2159882728,music,set,static,7,289,False,False,7,1.0,,,0
e292786e-67d0-4f1e-ae29-701b1a008e0c,movie,simple_w_condition,static,11,337,True,True,11,1.0,6,0.5455,0
45993526-577d-428a-b00d-06a0b2d3fdf6,finance,simple,real-time,10,159,False,False,10,1.0,,,0
08bea7e4-ded2-4ec8-8090-3d2ec5c59252,finance,simple,real-time,10,64,False,False,10,1.0,,,0
238128ae-937c-423b-a88d-7d7ec8ddbab8,open,comparison,static,8,32,False,False,5,0.625,,,0
5023f14a-b9f3-4c23-9eff-bb8497998b2d,movie,simple,static,14,400,True,True,12,0.8571,4,0.2857,4
65305e84-397e-4604-a8eb-730640453576,movie,post-processing,static,10,95,False,False,10,1.0,,,4
c3f70b61-319f-494a-9dc1-c2a4167f5bd8,movie,false_premise,static,8,232,False,False,7,0.875,,,0
fd2b639f-4e2a-47c4-a945-cbadd39a2552,finance,simple,fast-changing,11,68,True,True,9,0.8182,1,0.0909,0
38605057-b0cd-46a9-a840-11878b8a5342,music,comparison,slow-changing,21,93,False,False,18,0.8571,,,6
50d7eef5-b9b0-483a-a07b-51bf9142b15a,open,post-processing,static,9,314,True,True,9,1.0,1,0.1111,0
9b5dbd99-3dda-49bf-99fd-32546346e31a,finance,simple_w_condition,static,18,112,False,False,18,1.0,,,6
a53b0542-fe79-4400-b3d0-18f010073fdc,finance,aggregation,slow-changing,15,52,False,False,9,0.6,,,0
e2af4c17-32a8-44c6-a65b-7828c12a2e82,open,false_premise,static,11,110,False,False,11,1.0,,,0
0046851e-506f-4925-b769-bda66af48f9e,open,simple,static,8,68,True,True,7,0.875,6,0.75,0
8a687b2a-38db-4132-81ce-0ad7b96580f4,music,comparison,slow-changing,17,123,False,False,14,0.8235,,,0
d668a209-aff6-4df5-adaf-73ca3a453646,finance,simple,static,5,135,True,True,5,1.0,1,0.2,0
f3fcde61-4d62-4294-a9c5-6101b6a8a455,finance,aggregation,slow-changing,23,83,False,False,18,0.7826,,,0
6368de43-1ee8-437e-8f6f-b23a9fdb48ad,movie,simple,static,16,337,True,True,14,0.875,5,0.3125,0
af5cbdb5-6925-423f-9115-63ef48a16348,open,simple_w_condition,static,10,95,False,False,10,1.0,,,3
10db2c9d-8d19-4690-b069-cf383ec9d8ed,finance,comparison,slow-changing,10,85,False,False,4,0.4,,,0
f068a33c-2458-4d27-8448-02906e6b5fa5,finance,aggregation,static,10,99,True,True,3,0.3,4,0.4,0
ae385eec-ebab-45d9-a5aa-43b082eccc7f,music,aggregation,static,12,39,True,True,9,0.75,2,0.1667,2
54f26611-03ad-4284-95dc-015c050946b8,movie,multi-hop,static,22,348,True,False,22,1.0,,,0
3ab49325-985e-444c-be8b-0fa8f6f7a554,sports,post-processing,fast-changing,12,152,False,False,12,1.0,,,0
69f7993d-4618-4edf-ba61-6e199b1acf26,finance,simple,fast-changing,12,132,True,False,10,0.8333,,,0
37c0f80e-9239-4120-bb5f-54f4a7540579,open,simple_w_condition,static,11,77,True,True,11,1.0,8,0.7273,2
909fb375-e924-4f8b-8c9d-b39d2402550b,music,multi-hop,static,19,102,True,True,19,1.0,9,0.4737,0
50f61c3a-b5b7-4a59-b348-dd8077f5820a,finance,simple_w_condition,static,7,90,True,False,7,1.0,,,0
1cb06dcb-918c-4a61-afa1-fc299f1ca4ce,music,set,slow-changing,10,211,False,False,10,1.0,,,0
aeb481bd-acc4-4bad-bb4e-8d89b37a5921,finance,simple,real-time,9,109,False,False,8,0.8889,,,0
0d29c89c-6e2d-4589-9c39-933da3339eb6,movie,simple_w_condition,static,13,51,False,False,11,0.8462,,,0
cfc875b9-4cac-456b-a7a8-df23c9dab754,movie,multi-hop,static,18,123,False,False,14,0.7778,,,0
ba4433de-8237-4207-a110-566219bb36dd,open,aggregation,slow-changing,10,56,True,True,9,0.9,1,0.1,0
c685a808-46bf-4021-b379-361541862500,open,false_premise,static,9,61,False,False,9,1.0,,,0
c23bf331-88f0-4a0c-adc6-614c28b519e6,music,aggregation,slow-changing,9,232,False,False,8,0.8889,,,0
